hour,t_outdoor
7124,15.29258333
7125,15.004875
7126,15.004875
7127,15.004875
7128,14.59
7129,14.59
7130,14.59
7131,14.058875
7132,14.058875
7133,14.058875
7134,13.6035
7135,13.6035
7136,13.6035
7137,15.38929167
7138,15.38929167
7139,15.38929167
7140,16.8435
7141,16.8435
7142,16.8435
7143,15.80395833
7144,15.80395833
7145,15.80395833
7146,14.12383333
7147,14.12383333
7148,14.12383333
7149,13.09383333
7150,13.09383333
7151,13.09383333
7152,12.97566667
7153,12.97566667
7154,12.97566667
7155,13.17008333
7156,13.17008333
7157,13.17008333
7158,13.50125
7159,13.50125
7160,13.50125
7161,13.79516667
7162,13.79516667
7163,13.79516667
7164,14.437
7165,14.437
7166,14.437
7167,13.89970833
7168,13.89970833
7169,13.89970833
7170,12.98670833
7171,12.98670833
7172,12.98670833
7173,12.369375
7174,12.369375
7175,12.369375
7176,11.87304167
7177,11.87304167
7178,11.87304167
7179,11.32945833
7180,11.32945833
7181,11.32945833
7182,10.90008333
7183,10.90008333
7184,10.90008333
7185,13.46316667
7186,13.46316667
7187,13.46316667
7188,16.082125
7189,16.082125
7190,16.082125
7191,15.27883333
7192,15.27883333
7193,15.27883333
7194,13.758375
7195,13.758375
7196,13.758375
7197,12.946125
7198,12.946125
7199,12.946125
7200,12.69645833
7201,12.69645833
7202,12.69645833
7203,12.74395833
7204,12.74395833
7205,12.74395833
7206,12.92733333
7207,12.92733333
7208,12.92733333
7209,16.27066667
7210,16.27066667
7211,16.27066667
7212,18.87883333
7213,18.87883333
7214,18.87883333
7215,17.54191667
7216,17.54191667
7217,17.54191667
7218,15.82454167
7219,15.82454167
7220,15.82454167
7221,15.14204167
7222,15.14204167
7223,15.14204167
7224,14.921625
7225,14.921625
7226,14.921625
7227,14.70741667
7228,14.70741667
7229,14.70741667
7230,14.43591667
7231,14.43591667
7232,14.43591667
7233,17.26020833
7234,17.26020833
7235,17.26020833
7236,19.60754167
7237,19.60754167
7238,19.60754167
7239,18.09604167
7240,18.09604167
7241,18.09604167
7242,16.124375
7243,16.124375
7244,16.124375
7245,14.97820833
7246,14.97820833
7247,14.97820833
7248,14.06454167
7249,14.06454167
7250,14.06454167
7251,13.1055
7252,13.1055
7253,13.1055
7254,12.68833333
7255,12.68833333
7256,12.68833333
7257,15.12354167
7258,15.12354167
7259,15.12354167
7260,17.29045833
7261,17.29045833
7262,17.29045833
7263,16.332625
7264,16.332625
7265,16.332625
7266,14.74070833
7267,14.74070833
7268,14.74070833
7269,13.84729167
7270,13.84729167
7271,13.84729167
7272,13.28716667
7273,13.28716667
7274,13.28716667
7275,12.7125
7276,12.7125
7277,12.7125
7278,12.01975
7279,12.01975
7280,12.01975
7281,14.57354167
7282,14.57354167
7283,14.57354167
7284,16.43766667
7285,16.43766667
7286,16.43766667
7287,14.94795833
7288,14.94795833
7289,14.94795833
7290,12.99983333
7291,12.99983333
7292,12.99983333
7293,11.82845833
7294,11.82845833
7295,11.82845833
7296,11.28083333
7297,11.28083333
7298,11.28083333
7299,11.192125
7300,11.192125
7301,11.192125
7302,11.06004167
7303,11.06004167
7304,11.06004167
7305,12.51545833
7306,12.51545833
7307,12.51545833
7308,13.71408333
7309,13.71408333
7310,13.71408333
7311,12.969375
7312,12.969375
7313,12.969375
7314,11.37504167
7315,11.37504167
7316,11.37504167
7317,10.13666667
7318,10.13666667
7319,10.13666667
7320,9.126666667
7321,9.126666667
7322,9.126666667
7323,8.273458333
7324,8.273458333
7325,8.273458333
7326,7.604333333
7327,7.604333333
7328,7.604333333
7329,9.9455
7330,9.9455
7331,9.9455
7332,12.01404167
7333,12.01404167
7334,12.01404167
7335,11.07770833
7336,11.07770833
7337,11.07770833
7338,9.039875
7339,9.039875
7340,9.039875
7341,7.601125
7342,7.601125
7343,7.601125
7344,6.524
7345,6.524
7346,6.524
7347,5.693666667
7348,5.693666667
7349,5.693666667
7350,5.245916667
7351,5.245916667
7352,5.245916667
7353,8.617125
7354,8.617125
7355,8.617125
7356,11.422875
7357,11.422875
7358,11.422875
7359,10.26204167
7360,10.26204167
7361,10.26204167
7362,8.245
7363,8.245
7364,8.245
7365,6.94575
7366,6.94575
7367,6.94575
7368,5.888375
